ax,ay,az,gx,gy,gz,time
0.68,-0.03,11.83,-0.46,3.3,-0.5,1771658356.551504
0.68,-0.03,11.83,-0.54,3.23,-0.56,1771658356.564574
2.49,-0.56,9.62,-0.52,2.87,-0.5,1771658356.5775669
2.3,-0.45,8.33,-0.38,1.47,-0.22,1771658356.590614
2.3,-0.45,8.33,-0.27,0.79,-0.14,1771658356.603331
1.31,-0.61,7.3,-0.14,0.25,-0.09,1771658356.616382
0.47,-0.53,7.85,0.0,-0.46,-0.1,1771658356.629719
0.59,-0.46,8.66,-0.0,-0.72,-0.07,1771658356.6425831
0.59,-0.46,8.66,-0.03,-0.96,-0.07,1771658356.6554072
1.11,-0.48,8.67,-0.05,-1.54,-0.07,1771658356.668355
1.56,-0.35,7.92,-0.01,-1.9,-0.09,1771658356.681293
1.56,-0.35,7.92,0.17,-2.35,-0.11,1771658356.694279
2.09,-0.61,9.13,0.34,-3.17,0.02,1771658356.7072299
1.25,-1.15,9.4,0.53,-3.27,0.14,1771658356.7203789
1.25,-1.15,9.4,0.6,-3.07,0.28,1771658356.7334359
0.53,-0.53,12.6,0.32,-1.86,0.37,1771658356.746291
-3.04,1.86,18.83,-0.14,-0.33,0.08,1771658356.759385
2.98,-1.06,9.03,-0.26,-0.09,-0.12,1771658356.7724018
2.98,-1.06,9.03,0.14,0.09,0.21,1771658356.785308
2.22,0.01,10.2,0.05,0.24,0.15,1771658356.798403
1.73,-0.27,9.59,-0.14,0.38,0.13,1771658356.8113668
1.73,-0.27,9.59,-0.26,0.59,0.08,1771658356.824356
1.77,-0.86,10.35,-0.27,0.79,0.18,1771658356.837385
0.34,-0.07,11.32,-0.28,1.16,0.15,1771658356.850441
0.34,-0.07,11.32,-0.38,1.92,-0.05,1771658356.863513
1.34,-0.28,10.7,-0.39,2.0,-0.1,1771658356.876555
1.78,-0.37,9.57,-0.32,1.85,-0.12,1771658356.8895009
1.8,-0.75,9.06,-0.08,1.27,-0.11,1771658356.9026098
1.8,-0.75,9.06,-0.06,0.95,-0.11,1771658356.9155462
0.99,-0.75,9.6,-0.1,0.72,-0.1,1771658356.9286
0.58,-0.65,9.42,-0.11,0.44,-0.11,1771658356.941814
0.58,-0.65,9.42,-0.08,0.34,-0.11,1771658356.954529
0.89,-0.34,9.49,-0.04,-0.08,-0.24,1771658356.967597
3.65,0.13,8.52,0.0,-0.63,-0.3,1771658356.980549
3.65,0.13,8.52,0.1,-1.63,-0.21,1771658356.993582
3.17,-1.69,7.12,0.4,-3.44,0.24,1771658357.006526
1.04,-1.76,9.73,0.38,-3.74,0.5,1771658357.0195699
-0.16,-0.47,12.44,0.22,-3.56,0.67,1771658357.032584
-0.16,-0.47,12.44,-0.03,-2.32,0.66,1771658357.045623
0.86,0.53,12.04,0.09,-1.21,0.42,1771658357.058572
3.83,-1.21,8.57,0.05,-0.85,0.18,1771658357.07165
3.83,-1.21,8.57,0.19,-0.87,0.32,1771658357.0846531
3.64,-0.47,9.35,0.16,-0.8,0.32,1771658357.0976782
2.96,-0.63,9.44,0.14,-0.67,0.34,1771658357.110613
2.42,-0.45,9.45,0.17,-0.28,0.22,1771658357.123661
2.42,-0.45,9.45,0.2,0.07,0.19,1771658357.136775
1.01,0.25,10.08,0.28,0.78,0.07,1771658357.14963
1.41,-0.11,10.41,0.27,1.94,-0.14,1771658357.1626291
1.41,-0.11,10.41,0.28,2.19,-0.17,1771658357.175764
2.35,-0.43,9.95,0.16,2.26,-0.19,1771658357.188786
2.34,-0.61,10.24,0.15,2.1,-0.2,1771658357.201623
2.34,-0.61,10.24,-0.04,2.02,-0.26,1771658357.214593
